time/time_elapsed,train/loss,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,train/n_updates,rollout/exploration rate,train/learning_rate
6,30.974811553955078,-0.41153850999999997,1000,7.22,1110,7767,1816,0.9963106750000001,5e-05
14,23.08692741394043,-0.37354965,2000,7.0,1075,15718,3804,0.99253395,5e-05
22,18.218769073486328,-0.5373101299999999,3000,8.58,1064,23643,5785,0.9887695750000001,5e-05
29,13.077868461608887,-0.19456195,4000,6.78,1057,31674,7793,0.9849548499999998,5e-05
38,10.687161445617676,-0.29688964999999995,5000,8.72,1053,40071,9892,0.9809662749999998,5e-05
46,8.285771369934082,-0.51225996,6000,8.72,1050,48461,11990,0.9769810250000002,5e-05
54,5.221670627593994,-0.02042498999999999,7000,7.67,1048,56630,14032,0.9731007500000002,5e-05
62,4.44484806060791,-0.29192832,8000,7.93,1046,64922,16105,0.9691620500000002,5e-05
70,4.859279155731201,-0.21890758999999999,9000,8.16,1044,73617,18279,0.9650319249999999,5e-05
78,5.27710485458374,-0.13910563,10000,7.12,1042,81832,20332,0.9611298000000003,5e-05
86,3.475029468536377,-0.09875681,11000,8.58,1041,90167,22416,0.9571706750000001,5e-05
94,2.0229146480560303,-0.17906320999999997,12000,6.57,1040,98001,24375,0.9534495250000001,5e-05
102,3.5635452270507812,-0.17384538,13000,8.11,1038,106564,26515,0.9493821,5e-05
110,3.8227224349975586,-0.54114586,14000,8.61,1036,114939,28609,0.9454039750000003,5e-05
119,3.2302942276000977,-0.007022970000000009,15000,8.67,1035,123338,30709,0.9414144500000002,5e-05
127,4.628177165985107,-0.07843859,16000,8.54,1034,131983,32870,0.937308075,5e-05
136,4.144767761230469,0.16176221999999996,17000,9.38,1032,140747,35061,0.933145175,5e-05
144,4.178136348724365,-0.12939653000000004,18000,8.81,1031,149370,37217,0.9290492500000002,5e-05
153,7.412310600280762,-0.13332829000000002,19000,9.38,1030,157966,39366,0.9249661499999998,5e-05
161,5.645562648773193,-0.16123371000000003,20000,9.25,1028,166634,41533,0.92084885,5e-05
170,7.364740371704102,-0.19928906000000002,21000,9.34,1027,175003,43625,0.9168735749999999,5e-05
178,8.980142593383789,-0.10583804999999998,22000,8.42,1026,183668,45791,0.9127576999999999,5e-05
187,8.587597846984863,0.29958690999999993,23000,9.07,1025,192347,47961,0.9086351749999998,5e-05
195,10.944092750549316,-0.30368173000000004,24000,6.69,1024,200709,50052,0.904663225,5e-05
204,10.748469352722168,0.18905260999999998,25000,9.53,1023,209603,52275,0.9004385749999998,5e-05
213,9.939129829406738,0.024030039999999975,26000,8.25,1022,218408,54476,0.8962562000000001,5e-05
222,13.390971183776855,-0.03781113999999999,27000,9.58,1021,227423,56730,0.891974075,5e-05
231,16.662952423095703,-0.15452169999999998,28000,8.75,1019,236516,59003,0.8876549,5e-05
241,14.357515335083008,0.15597442000000003,29000,9.2,1018,245585,61271,0.8833471249999998,5e-05
250,17.477113723754883,0.17691362000000005,30000,10.33,1017,255082,63645,0.8788360500000001,5e-05
259,19.62639808654785,0.19327421,31000,9.44,1016,263819,65829,0.8746859750000002,5e-05
269,15.8262939453125,0.23938389000000004,32000,9.12,1015,273200,68174,0.87023,5e-05
278,14.8413724899292,0.17116436999999998,33000,8.04,1014,282544,70510,0.8657916,5e-05
287,14.39865493774414,0.24078129,34000,9.17,1012,291382,72720,0.86159355,5e-05
297,17.60601234436035,0.046490899999999974,35000,8.13,1011,300668,75041,0.8571827000000003,5e-05
306,13.495720863342285,0.1700546,36000,8.93,1010,309986,77371,0.8527566500000001,5e-05
316,16.334514617919922,0.13933225999999999,37000,10.79,1009,319475,79743,0.848249375,5e-05
326,14.578143119812012,0.22365653,38000,10.0,1008,329342,82210,0.8435625499999999,5e-05
336,12.707528114318848,0.3030710300000001,39000,9.05,1006,339065,84641,0.8389441250000003,5e-05
346,17.584871292114258,0.42523318,40000,10.0,1005,348528,87006,0.8344491999999999,5e-05
356,16.179990768432617,0.19383687000000002,41000,10.1,1004,357787,89321,0.8300511749999998,5e-05
365,15.029064178466797,0.20777226999999995,42000,10.78,1003,367181,91670,0.8255890250000001,5e-05
375,14.212982177734375,-0.00608785000000003,43000,8.71,1002,376934,94108,0.8209563500000001,5e-05
386,14.46230411529541,0.46235687000000003,44000,9.86,1001,386789,96572,0.8162752250000003,5e-05
396,13.965311050415039,0.41938115000000004,45000,9.75,1000,396296,98948,0.8117593999999998,5e-05
406,14.63605785369873,0.36052227000000003,46000,10.16,999,406416,101478,0.8069523999999998,5e-05
416,118.09113311767578,0.36677058,47000,10.0,998,415899,103849,0.8024479750000002,5e-05
427,16.299203872680664,0.43712196000000003,48000,9.64,997,426291,106447,0.7975117750000001,5e-05
437,15.91993236541748,0.41410352999999994,49000,10.38,996,436007,108876,0.7928966749999998,5e-05
448,14.806032180786133,0.7793203600000002,50000,10.74,995,446390,111472,0.7879647500000001,5e-05
458,16.565673828125,0.6210474800000001,51000,10.54,994,456240,113934,0.783286,5e-05
470,16.904279708862305,0.7078977399999999,52000,10.27,992,467075,116643,0.778139375,5e-05
481,17.132083892822266,0.7552501600000001,53000,10.8,991,477486,119246,0.7731941499999999,5e-05
492,15.662558555603027,0.7595713299999999,54000,11.53,990,487730,121807,0.7683282500000003,5e-05
503,14.810383796691895,0.7794446800000001,55000,11.93,989,498589,124522,0.7631702249999999,5e-05
515,18.058286666870117,0.80994164,56000,11.11,988,509243,127185,0.7581095749999999,5e-05
526,19.859182357788086,0.8172520599999998,57000,10.84,987,520031,129882,0.7529852750000001,5e-05
537,16.015607833862305,0.50172412,58000,10.05,986,530475,132493,0.748024375,5e-05
549,19.079391479492188,0.68572502,59000,9.89,985,541086,135146,0.7429841500000003,5e-05
560,147.4729461669922,0.8069759099999999,60000,9.44,984,552029,137882,0.7377862249999998,5e-05
572,13.760696411132812,0.5459932200000001,61000,10.4,983,562840,140584,0.732651,5e-05
584,20.42154312133789,1.08718082,62000,11.12,981,573983,143370,0.7273580749999999,5e-05
596,19.963308334350586,0.9890491399999998,63000,11.72,980,584996,146123,0.7221269000000001,5e-05
608,16.753631591796875,0.8499716100000001,64000,10.78,979,595851,148837,0.7169707749999998,5e-05
620,15.82275390625,0.77525783,65000,9.99,978,606787,151571,0.7117761750000002,5e-05
632,20.13224220275879,0.6957455399999999,66000,10.52,977,617880,154344,0.7065070000000002,5e-05
643,18.33143424987793,0.9187532000000002,67000,10.39,976,628601,157025,0.7014145250000001,5e-05
656,19.040180206298828,1.33349993,68000,10.11,975,639997,159874,0.6960014250000001,5e-05
