time/total_timesteps,rollout/exploration rate,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/episodes,time/fps,train/loss,rollout/ep_rew_mean,time/time_elapsed
7767,0.9963106750000001,1816,5e-05,7.22,1000,1115,30.80864715576172,-0.42409051,6
15718,0.99253395,3804,5e-05,7.0,2000,1080,22.486085891723633,-0.31128397,14
23633,0.9887743250000002,5783,5e-05,8.48,3000,1068,16.570585250854492,-0.47281462999999996,22
31673,0.984955325,7793,5e-05,6.84,4000,1062,12.324481010437012,-0.19424628,29
40070,0.9809667500000001,9892,5e-05,8.77,5000,1057,10.018684387207031,-0.21874568,37
48455,0.9769838750000003,11988,5e-05,8.67,6000,1054,8.003090858459473,-0.49029339,45
56628,0.9731017000000002,14031,5e-05,7.67,7000,1052,5.341530799865723,-0.03136048999999999,53
64917,0.9691644250000001,16104,5e-05,7.97,8000,1049,4.9641571044921875,-0.20345673000000006,61
73613,0.9650338249999999,18278,5e-05,8.14,9000,1048,3.259770631790161,-0.2774408,70
81806,0.9611421500000001,20326,5e-05,6.91,10000,1046,4.359674453735352,-0.07687998,78
90146,0.9571806500000001,22411,5e-05,8.41,11000,1044,3.65950608253479,-0.18645705999999998,86
98000,0.9534499999999999,24374,5e-05,6.6,12000,1043,3.702335834503174,-0.1945494,93
106562,0.94938305,26515,5e-05,8.13,13000,1041,2.6333093643188477,-0.18232755999999997,102
114915,0.9454153750000001,28603,5e-05,8.46,14000,1039,2.604722261428833,-0.41673066,110
123329,0.9414187250000001,30707,5e-05,8.66,15000,1038,3.1842901706695557,0.022762949999999983,118
131983,0.937308075,32870,5e-05,8.54,16000,1037,2.999091148376465,-0.12587035000000005,127
140766,0.93313615,35066,5e-05,9.52,17000,1035,2.3857216835021973,0.16540512000000004,135
149401,0.9290345249999999,37225,5e-05,8.69,18000,1034,1.168359398841858,0.04261370000000001,144
158062,0.9249205500000001,39390,5e-05,8.91,19000,1033,3.0728981494903564,-0.16103205999999992,152
166714,0.92081085,41553,5e-05,9.01,20000,1032,3.8293697834014893,-0.24079756999999993,161
175141,0.9168080250000001,43660,5e-05,9.29,21000,1030,2.127840042114258,-0.04340001999999998,169
183735,0.9127258749999998,45808,5e-05,8.22,22000,1029,1.4303433895111084,-0.0027159000000000154,178
192544,0.9085416,48010,5e-05,10.08,23000,1028,2.4235966205596924,0.15692878999999998,187
200845,0.9045986250000002,50086,5e-05,7.2,24000,1027,2.8100478649139404,-0.35607379,195
209784,0.9003526000000003,52320,5e-05,10.07,25000,1026,2.291675567626953,0.11308373999999997,204
218564,0.8961821,54515,5e-05,7.69,26000,1025,2.5102860927581787,0.12406106999999997,213
227607,0.8918866750000002,56776,5e-05,9.21,27000,1024,1.60527765750885,-0.20133572,222
236906,0.88746965,59101,5e-05,10.13,28000,1022,3.02093505859375,-0.06875693999999999,231
245850,0.8832212500000002,61337,5e-05,9.23,29000,1021,2.5714755058288574,0.17674800000000002,240
255376,0.8786963999999998,63718,5e-05,8.99,30000,1020,0.9551869034767151,-0.07041602,250
264100,0.8745524999999998,65899,5e-05,8.62,31000,1019,1.4899163246154785,-0.023081350000000018,259
273499,0.8700879749999999,68249,5e-05,8.68,32000,1018,2.2152156829833984,0.15284784999999998,268
282946,0.8656006500000003,70611,5e-05,8.22,33000,1017,1.6501047611236572,0.048453030000000015,278
291927,0.8613346750000002,72856,5e-05,10.35,34000,1015,1.5143334865570068,0.15728661,287
301288,0.8568882000000002,75196,5e-05,9.82,35000,1014,1.8460288047790527,-0.012248560000000009,296
310503,0.8525110750000001,77500,5e-05,8.72,36000,1013,2.8640174865722656,0.32788449,306
320149,0.8479292250000002,79912,5e-05,10.62,37000,1012,2.8881077766418457,0.09602736999999997,316
329979,0.8432599749999999,82369,5e-05,8.99,38000,1011,2.9267494678497314,-0.011439720000000018,326
339705,0.838640125,84801,5e-05,9.11,39000,1009,2.477806806564331,-0.02277522000000002,336
349246,0.8341081500000002,87186,5e-05,9.16,40000,1008,1.904355764389038,-0.10831233000000001,346
358520,0.8297030000000001,89504,5e-05,8.34,41000,1007,2.6877076625823975,-0.025860249999999994,355
368190,0.8251097499999998,91922,5e-05,10.53,42000,1006,2.022920846939087,0.09011442999999998,365
377908,0.8204937,94351,5e-05,9.98,43000,1005,1.8810958862304688,0.2761277,375
387702,0.8158415500000001,96800,5e-05,8.83,44000,1004,2.2161941528320312,0.09892544999999998,385
397495,0.8111898750000001,99248,5e-05,10.36,45000,1003,2.4408700466156006,0.11037802999999999,396
407512,0.8064318000000001,101752,5e-05,8.53,46000,1002,2.591162919998169,0.07960800000000001,406
417259,0.8018019750000001,104189,5e-05,10.5,47000,1001,2.930182695388794,0.33328132000000005,416
427475,0.7969493749999998,106743,5e-05,7.76,48000,999,2.201671838760376,0.18488889999999997,427
437556,0.7921609,109263,5e-05,11.48,49000,998,3.107537269592285,0.47426431999999996,438
447828,0.7872817,111831,5e-05,10.2,50000,997,3.668656587600708,0.35062669999999996,448
457738,0.7825744500000001,114309,5e-05,8.82,51000,996,3.3670830726623535,0.4464064499999999,459
468760,0.7773389999999999,117064,5e-05,9.91,52000,995,2.954169750213623,0.4608483,471
479115,0.772420375,119653,5e-05,9.1,53000,994,3.346675395965576,0.09479507,481
489650,0.7674162499999999,122287,5e-05,10.09,54000,993,3.35172176361084,0.34878787999999994,493
500585,0.762222125,125021,5e-05,11.02,55000,991,3.480534076690674,0.11178335,504
511090,0.7572322500000002,127647,5e-05,9.41,56000,990,2.801788330078125,0.18752799,515
522003,0.7520485750000001,130375,5e-05,10.24,57000,989,3.0896005630493164,0.16211642,527
532806,0.74691715,133076,5e-05,10.65,58000,988,2.2630136013031006,0.13547397999999997,538
543519,0.7418284749999999,135754,5e-05,11.42,59000,987,2.1512227058410645,0.29780633,550
554620,0.7365554999999999,138529,5e-05,12.88,60000,986,3.3083860874176025,0.24284576000000005,562
565523,0.7313765750000001,141255,5e-05,11.86,61000,985,2.1044135093688965,0.53804333,573
576362,0.7262280499999999,143965,5e-05,10.18,62000,984,2.0065505504608154,0.43460330999999996,585
587615,0.7208828749999999,146778,5e-05,10.62,63000,983,1.539660930633545,0.39465446,597
598630,0.71565075,149532,5e-05,10.71,64000,982,1.1944416761398315,0.25248268999999995,609
609655,0.710413875,152288,5e-05,10.46,65000,981,1.6433809995651245,0.6749371000000001,621
620537,0.7052449250000001,155009,5e-05,9.26,66000,980,0.884691059589386,0.30535829,633
